keys,ru
DAY,День
MAP,Карта
INCIDENT,Инцидент
MANAGEMENT,Привал
CAMP,Ночёвка
FUEL,Топливо
FOOD,Еда
STRESS,Стресс
VEHICLE,Авто
START_GAME,Начать
CONTINUE_GAME,Продолжить
SLEEP,Спать
TALK,Поговорить с семьёй
DISTRIBUTE_FOOD,Раздать еду
CONTINUE_ROUTE,Продолжить маршрут
REST,Ночевать
bio_saryn,"Сарын — глава семьи. Работал прорабом. Решителен, берёт ответственность."
bio_asel,Асель — жена Сарына. Бывший педагог. Держит семью вместе в трудные моменты.
bio_daniyar,"Данияр — старший сын, 17 лет. Порывистый, мечтает о своей жизни."
bio_zarina,"Зарина — дочь, 15 лет. Наблюдательная и эмпатичная."
bio_miras,"Мирас — сын, 12 лет. Любопытный, всегда задаёт вопросы."
bio_gulnara,"Гульнара — бабушка. Хранит традиции, её слово весомо."
bio_ruslan,Руслан — лидер второй семьи. Молодой и рискованный.
bio_dina,Дина — жена Руслана. Эмпатичная и заботливая.
bio_timur,"Тимур — сын Руслана, 19 лет. Идеалист, верит в лучшее."
bio_ainur,"Айнур — сын, 9 лет. Игривый и доверчивый."
bio_bolat,"Болат — сын, 7 лет. Полный энергии и любопытства."
bio_erlan,Ерлан — дедушка. Мудрый и традиционный.
bio_saule,Сауле — бабушка. Хранит семейные ценности.
bio_almaz,Алмаз — брат Сарына. Прагматичный и осторожный.
bio_meruert,Меруерт — жена Алмаза. Весёлая и общительная.
bio_arman,"Арман — подросток, 13 лет. Любит приключения."
bio_kamila,"Камила — дочь, 11 лет. Наблюдательная и добрая."
bio_darkhan,"Дархан — малыш, 5 лет. Всегда весёлый."
bio_azamat,Азамат — друг семьи. Надёжный и рассудительный.
bio_assel,Ассель — подруга семьи. Оптимистичная.
bio_maksat,Максат — подросток из второй семьи. Энергичный.
bio_aliya,"Алия — дочь из второй семьи, 17 лет. Мечтательница."
bio_erzhan,Ержан — дядя из второй семьи. Опытный и строгий.
bio_gulzhan,Гульжан — тётя из второй семьи. Заботливая.
bio_nurly,"Нурлы — ребёнок из второй семьи, 8 лет. Игривый."
bio_sanzhar,"Санжар — малыш из второй семьи, 6 лет. Любознательный."
bio_dauren,Даурен — взрослый из второй семьи. Рассудительный.
bio_ainura,"Айнура — подросток из второй семьи, 14 лет. Творческая."
UPGRADE_COMFORT,Комфорт
UPGRADE_FUEL_TANK,Бак
UPGRADE_CARGO,Груз
UPGRADE_ENGINE,Двигатель
UPGRADE_REPAIR_KIT,Рем. набор
UPGRADE_SOLAR_PANEL,Солн. панель
UPGRADE_LEVEL,Уровень
UPGRADE_COST,Стоимость
UPGRADE_BUY,Купить
PARTS_CURRENCY,Запчасти
